endpoint,run,lat_mean_s,lat_p50_s,lat_p90_s,lat_p95_s,lat_p99_s,lat_max_s,requests,rate,throughput,success,bytes_in_total,JVM_CPU_pct,Native_Memory_Reserved_GB,Native_Memory_Committed_GB,Physical_Memory_Used_GB,Heap_Used_MB
traditional,63,0.112554049,0.110224814,0.120640172,0.12722745,0.145606837,0.267983316,600000,1000.001797609898,999.8107634689093,1,22200000,,,,,
traditional,65,0.111887205,0.109712751,0.117950311,0.123602219,0.143790765,0.360656286,600000,1000.001871170168,999.8218240240026,1,22200000,,,,,
traditional,67,0.112102115,0.110063591,0.118667212,0.124386973,0.140735957,0.365695883,600000,1000.0016934028675,999.8207219397193,1,22200000,,,,,
traditional,69,0.111427308,0.109707364,0.116922711,0.121303087,0.136711015,0.333058057,600000,1000.0015650857829,999.8134455740476,1,22200000,,,,,
traditional,71,0.118318801,0.110722623,0.127040805,0.148440497,0.264229542,1.858920113,600000,1000.0017301263267,999.8084334730991,1,22200000,,,,,
traditional,73,0.12783376,0.111535072,0.132848371,0.188919175,0.483198329,2.751800917,600000,1000.0004872002373,999.8110978724225,1,22200000,,,,,
traditional,75,0.115854406,0.112251364,0.125780264,0.134948474,0.170629205,0.875922116,600000,1000.000966395934,999.804085196798,1,22200000,,,,,
traditional,77,18.264615956,0.240385391,64.836074892,76.970975315,98.797691188,160.858915276,600000,1000.0014606654668,801.3701937492634,0.8015166666666667,17793670,,,,,
traditional,79,0.120842804,0.113967319,0.136964029,0.151587484,0.237787676,1.181658263,599999,1000.0001035951833,999.812271958829,1,22199963,,,,,
traditional,81,0.116611925,0.110994264,0.125209289,0.137349325,0.230760981,0.904960004,600000,1000.00126755494,999.8132816102681,1,22200000,,,,,
traditional,83,0.90733606,0.1167781,2.340428409,4.622070353,13.654085584,70.002173984,600000,1000.001765213116,997.1733870698168,0.99735,22141170,,,,,
traditional,85,73.612178619,68.795308173,133.154613228,166.883776188,216.198031286,344.932053291,599958,999.7075413339976,259.4889488076842,0.2898286213368269,6433745,,,,,
traditional,87,44.78848864,40.42875976,97.817507108,113.028795734,142.565773605,224.099941679,600000,1000.0010241777156,534.7165151970565,0.53481,11872782,,,,,
traditional,89,0.122622228,0.110872042,0.129612451,0.149942821,0.391637746,3.960537074,600000,1000.0017787514973,999.8183886553384,1,22200000,,,,,
traditional,91,0.142633962,0.11152182,0.166047067,0.269021966,0.737071339,4.5553052,600000,1000.0003801001445,999.2002714443179,1,22200000,.3070763179729727800,3.5246241413171346,0.4420863544244481,7.652948496759921,173.90041769118537902832
traditional,93,0.171599756,0.110377447,0.192892508,0.36099887,1.46827418,12.217819294,600000,1000.001418797013,999.815278026398,0.999995,22199889,.3085459648048046700,3.524464753147835,0.5521875479394036,7.814085884608965,175.74119634213657379150
traditional,95,0.320271396,0.119743536,0.748657959,1.306920031,2.870955584,11.936578066,600000,1000.0020180274058,999.776777509725,0.9999583333333333,22199075,.2993407841591589800,3.5230375250726045,0.31226437161027315,7.395062631037996,94.60011706144914627075
traditional,97,0.131115496,0.111335586,0.1351894,0.163838111,0.638924591,8.149824006,600000,1000.0005262752769,999.7347199388512,1,22200000,.327719868603603200,3.5209440341557205,0.3489259172376173,6.78385804046219,128.91328239440917968750
traditional,99,0.12811629,0.112003254,0.132828714,0.165450612,0.506228381,4.057285141,600000,1000.0012140931406,999.81616220255,1,22200000,.3008433924174172400,3.524017661903472,0.4590062756898409,7.387952172595343,176.95377897179645538330
AVG,AVG,3.187246,2.294916,7.061733,8.996724,13.660448,31.369312,599999.100000,999.995284,966.148374,0.968967,21511055.560000,0.030871,0.352342,0.042289,0.740678,15.002176
