endpoint,run,Rate,JVM_CPU_pct,Native_Memory_GB,Heap_Used_MB
virtual,2,2400.164739610878,2.565612815262708500,0.508350453133825,229.24102024216725349426
virtual,4,2198.8331172135404,2.354388299610234300,0.8088129638970378,273.46979663085937500000
virtual,6,3050.1524202437813,2.937947207363260700,0.5378548339706836,265.49738282234439849853
virtual,8,2812.3894566330564,2.900106877916706500,0.5204255574740432,241.17149036649672508239
virtual,10,4394.156652782636,4.181597163901327800,0.4899548735130387,227.25706993919382095336
virtual,12,3050.0348792210034,2.892353402010100900,0.614571602886607,290.22913003055810928344
virtual,14,4800.061900158245,4.409866590629800200,0.5195292580960074,243.44977477556526184082
virtual,16,2900.2165704347667,3.050123957706782100,0.615919787646359,268.52276618735303878784
virtual,18,2300.118168110863,2.513437730437893000,0.49394475652856185,201.79297148605871200561
virtual,20,,,,
