endpoint,run,Rate,JVM_CPU_pct,Native_Memory_GB,Heap_Used_MB
traditional,1,2399.9250161739647,4.226841754833407400,0.6965503822622275,289.40567986233777999877
traditional,3,2700.1081073222313,4.784837108747819400,0.5864095638625688,272.49870390755790710449
traditional,5,2250.1037552092876,4.355426125698403700,0.7546458493784828,312.88394707780542373657
traditional,7,1750.0878199318306,3.563022576354061100,0.4525276036454656,187.08297207580869674682
traditional,9,1800.0680665951602,4.098438000381351000,0.43363416761714796,168.08036307828969955444
traditional,11,1249.567333685226,2.740857753842020900,0.3668232632629863,132.48260443195018768310
traditional,13,3150.0966086865387,5.632602645355057000,0.5280035089749834,257.61830611935010910034
traditional,15,4000.018957289844,6.746200224730191400,0.4713789002213786,206.24586928631626129150
traditional,17,2716.4362187697147,5.548178342762867500,0.5879151627309692,241.63731194805626869201
traditional,19,1497.9307608460556,3.204806824174725000,0.43311624480436195,178.51521357783565521240
